,Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
456,Afghanistan,4.0,33.93911,67.709953,153,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,2015
536,Albania,8.0,41.153332,20.168331,95,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,2015
396,Algeria,12.0,28.033886,1.659626,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2015
92,Angola,24.0,-11.202692,17.873887,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,2015
526,Azerbaijan,31.0,40.143105,47.576927,80,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,2015
5,Argentina,32.0,-38.416097,-63.616672,30,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,2015
31,Australia,36.0,-25.274398,133.775136,10,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2015
626,Austria,40.0,47.516231,14.550072,13,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2015
376,Bahrain,48.0,25.930414,50.637772,49,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015
357,Bangladesh,50.0,23.684994,90.356331,109,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2015
521,Armenia,51.0,40.069099,45.038189,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,2015
656,Belgium,56.0,50.503887,4.469936,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2015
391,Bhutan,64.0,27.514162,90.433601,79,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,2015
576,Bosnia and Herzegovina,70.0,43.915886,17.679076,96,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,2015
45,Botswana,72.0,-22.328474,24.684866,128,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,2015
74,Brazil,76.0,-14.235004,-51.92528,16,6.983,0.98124,1.23287,0.69702,0.49049,0.14574,0.17521,2015
571,Bulgaria,100.0,42.733883,25.48583,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015
745,Myanmar,104.0,21.916222,95.95597099999999,129,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,2015
106,Burundi,108.0,-3.373056,29.918886,157,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,2015
681,Belarus,112.0,53.709807,27.953389,59,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2015
240,Cambodia,116.0,12.565679,104.990963,145,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015
176,Cameroon,120.0,7.369722,12.354722,133,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,2015
696,Canada,124.0,56.130366,-106.346771,5,7.427,1.32629,1.32261,0.90563,0.63297,0.45811,0.32957,2015
172,Central African Republic,140.0,6.611111,20.939444,148,3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08289,2015
181,Sri Lanka,144.0,7.873054,80.771797,132,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,2015
280,Chad,148.0,15.454166,18.732207,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015
10,Chile,152.0,-35.675147,-71.542969,27,6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,2015
471,China,156.0,35.86166,104.195397,84,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,2015
153,Colombia,170.0,4.570868,-74.297333,33,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,2015
89,Comoros,174.0,-11.875001,43.872219,140,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,2015
221,Costa Rica,188.0,9.748917,-83.753428,12,7.226,0.95578,1.23788,0.86027,0.63376,0.25497,0.10583,2015
586,Croatia,191.0,45.1,15.2,62,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2015
466,Cyprus,196.0,35.126413,33.429859,67,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,2015
216,Benin,204.0,9.30769,2.315834,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015
701,Denmark,208.0,56.26392,9.501785,3,7.527,1.32548,1.36058,0.87464,0.64938,0.34139,0.48357,2015
319,Dominican Republic,214.0,18.735693,-70.162651,98,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,2015
116,Ecuador,218.0,-1.831239,-78.183406,48,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2015
260,El Salvador,222.0,13.794185,-88.89653,42,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,2015
211,Ethiopia,231.0,9.145,40.489673,122,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015
711,Estonia,233.0,58.595272,25.013607,73,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015
731,Finland,246.0,61.92411,25.748151,6,7.406,1.29025,1.31826,0.88911,0.64169,0.23351,0.41372,2015
601,France,250.0,46.227638,2.213749,29,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,2015
234,Djibouti,262.0,11.825138,42.590275,126,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015
121,Gabon,266.0,-0.803689,11.609444,143,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,2015
556,Georgia,268.0,42.315407,43.356892,130,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,2015
661,Germany,276.0,51.165691,10.451526,26,6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,2015
186,Ghana,288.0,7.946527,-1.023194,114,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2015
511,Greece,300.0,39.074208,21.824312,102,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,2015
290,Guatemala,320.0,15.783471,-90.230759,43,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,2015
226,Guinea,324.0,9.945587,-9.696645,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,2015
324,Haiti,332.0,18.971187,-72.285215,119,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015
275,Honduras,340.0,15.199999,-86.241905,105,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,2015
616,Hungary,348.0,47.162494,19.503304,104,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,2015
736,Iceland,352.0,64.963051,-19.020835,2,7.561,1.30232,1.40223,0.94784,0.62877,0.4363,0.14145,2015
333,India,356.0,20.593684,78.96288,117,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2015
126,Indonesia,360.0,-0.789275,113.921327,74,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,2015
441,Iraq,368.0,33.223191,43.679291,112,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788,2015
676,Ireland,372.0,53.41291,-8.24389,18,6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,2015
421,Israel,376.0,31.046051,34.851612,11,7.278,1.22857,1.22393,0.91387,0.41319,0.33172,0.07785,2015
551,Italy,380.0,41.87194,12.56738,50,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2015
313,Jamaica,388.0,18.109581,-77.297508,65,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2015
486,Japan,392.0,36.204824,138.252924,46,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806,2015
631,Kazakhstan,398.0,48.019573,66.923684,54,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2015
416,Jordan,400.0,30.585164,36.238414,82,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,2015
131,Kenya,404.0,-0.023559,37.906193,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,2015
406,Kuwait,414.0,29.31166,47.481766,39,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609,2015
541,Kyrgyzstan,417.0,41.20438,74.766098,77,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,2015
446,Lebanon,422.0,33.854721,35.862285,103,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,2015
25,Lesotho,426.0,-29.609988,28.233608,97,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,2015
706,Latvia,428.0,56.879635,24.603189,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,2015
167,Liberia,430.0,6.428055,-9.429499,116,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2015
381,Libya,434.0,26.3351,17.228331,63,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2015
686,Lithuania,440.0,55.169438,23.881275,56,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2015
646,Luxembourg,442.0,49.815273,6.129583,17,6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,2015
60,Madagascar,450.0,-18.766947,46.869107,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,2015
79,Malawi,454.0,-13.254308,34.301525,131,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2015
