Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
Peru,604.0,-9.189967,-75.015152,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019
Philippines,608.0,12.879721,121.774017,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019
Poland,616.0,51.919438,19.145136,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2019
Portugal,620.0,39.399872,-8.224454,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019
Qatar,634.0,25.354826,51.183884,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2019
Romania,642.0,45.943161,24.96676,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019
Rwanda,646.0,-1.940278,29.873888,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411,2019
Saudi Arabia,682.0,23.885942,45.079162,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019
Senegal,686.0,14.497401,-14.452362,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019
Serbia,688.0,44.016521,21.005859,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019
Sierra Leone,694.0,8.460555,-11.779889,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019
Singapore,702.0,1.352083,103.819836,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019
Slovakia,703.0,48.669026,19.699024,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2019
Slovenia,705.0,46.151241,14.995463,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2019
Somalia,706.0,5.152149,46.199616,112,4.668,0.0,0.698,0.268,0.559,0.243,0.27,2019
South Africa,710.0,-30.559482,22.937506,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019
Zimbabwe,716.0,-19.015438,29.154857,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,2019
Spain,724.0,40.463667,-3.74922,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019
South Sudan,728.0,4.85165,31.58247,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091,2019
Sweden,752.0,60.128161,18.643501,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019
Switzerland,756.0,46.818188,8.227512,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019
Tajikistan,762.0,38.861034,71.276093,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019
Thailand,764.0,15.870032,100.992541,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019
Togo,768.0,8.619543,0.824782,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2019
Trinidad and Tobago,780.0,10.66668,-61.51889,39,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2019
