,Country or Region,CodeNum,latitude,longitude,Rank,Score,GDP,Family,Health,Freedom,Generosity,Corruption,Year
584,Serbia,688.0,44.016521,21.005859,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043,2018
194,Sierra Leone,694.0,8.460555,-11.779889,113,4.571,0.256,0.813,0.0,0.355,0.238,0.053,2018
139,Singapore,702.0,1.352083,103.819836,34,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018
644,Slovakia,703.0,48.669026,19.699024,39,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018
599,Slovenia,705.0,46.151241,14.995463,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051,2018
160,Somalia,706.0,5.152149,46.199616,98,4.982,0.0,0.712,0.115,0.674,0.238,0.282,2018
23,South Africa,710.0,-30.559482,22.937506,105,4.724,0.94,1.41,0.33,0.516,0.103,0.056,2018
58,Zimbabwe,716.0,-19.015438,29.154857,144,3.692,0.357,1.094,0.248,0.406,0.132,0.099,2018
534,Spain,724.0,40.463667,-3.74922,36,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018
772,South Sudan,728.0,4.85165,31.58247,154,3.254,0.337,0.608,0.177,0.112,0.224,0.106,2018
248,Sudan,729.0,12.862807,30.217636,137,4.139,0.605,1.24,0.312,0.016,0.134,0.082,2018
719,Sweden,752.0,60.128161,18.643501,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018
609,Switzerland,756.0,46.818188,8.227512,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018
499,Tajikistan,762.0,38.861034,71.276093,88,5.199,0.474,1.166,0.598,0.292,0.187,0.034,2018
298,Thailand,764.0,15.870032,100.992541,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029,2018
204,Togo,768.0,8.619543,0.824782,139,3.999,0.259,0.474,0.253,0.434,0.158,0.101,2018
765,Trinidad and Tobago,780.0,10.66668,-61.51889,38,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018
454,Tunisia,788.0,33.886917,9.537499,111,4.592,0.9,0.906,0.69,0.271,0.04,0.063,2018
504,Turkey,792.0,38.963745,35.243322,74,5.483,1.148,1.38,0.686,0.324,0.106,0.109,2018
509,Turkmenistan,795.0,38.969719,59.556278,68,5.636,1.016,1.533,0.517,0.417,0.199,0.037,2018
144,Uganda,800.0,1.373333,32.290275,135,4.161,0.322,1.09,0.237,0.45,0.259,0.061,2018
639,Ukraine,804.0,48.379433,31.16558,138,4.103,0.793,1.413,0.609,0.163,0.187,0.011,2018
389,Egypt,818.0,26.820553,30.802498,122,4.419,0.885,1.025,0.553,0.312,0.092,0.107,2018
238,Burkina Faso,854.0,12.238333,-1.561593,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2018
18,Uruguay,858.0,-32.522779,-55.765835,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018
549,Uzbekistan,860.0,41.377491,64.585262,44,6.096,0.719,1.584,0.605,0.724,0.328,0.259,2018
288,Yemen,887.0,15.552727,48.516388,152,3.355,0.442,1.073,0.343,0.244,0.083,0.064,2018
87,Zambia,894.0,-13.133897,27.849332,125,4.377,0.562,1.047,0.295,0.503,0.221,0.082,2018
72,Bolivia,68.0,-16.290154,-63.588653,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2018
104,Tanzania,834.0,-6.369028,34.888822,153,3.303,0.455,0.991,0.381,0.481,0.27,0.097,2018
165,Venezuela,862.0,6.42375,-66.58973,102,4.806,0.996,1.469,0.657,0.133,0.056,0.052,2018
268,Vietnam,704.0,14.058324,108.277199,95,5.103,0.715,1.365,0.702,0.618,0.177,0.079,2018
331,Laos,418.0,19.85627,102.495496,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018
346,Hong Kong,344.0,22.396428,114.109497,76,5.43,1.405,1.29,1.03,0.524,0.246,0.291,2018
364,Taiwan,158.0,23.69781,120.960515,26,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018
434,Palestinian Territories,275.0,31.952162,35.233154,104,4.743,0.642,1.217,0.602,0.266,0.086,0.076,2018
439,Iran,364.0,32.427908,53.688046,106,4.707,1.059,0.771,0.691,0.459,0.282,0.129,2018
464,Syria,760.0,34.802075,38.996815,150,3.462,0.689,0.382,0.539,0.088,0.376,0.144,2018
479,South Korea,410.0,35.907757,127.766922,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018
494,United States,840.0,37.09024,-95.712891,18,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018
564,Kosovo,-1.0,42.602636,20.902977,66,5.662,0.855,1.23,0.578,0.448,0.274,0.023,2018
624,Moldova,498.0,47.411631,28.369885,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0,2018
654,Czech Republic,203.0,49.817492,15.472962,21,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018
694,United Kingdom,826.0,55.378051,-3.435973,11,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018
729,Russia,643.0,61.52401,105.318756,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018
766,North Cyprus,196.0,40.448761,-111.80763200000001,58,5.835,1.229,1.211,0.909,0.495,0.179,0.154,2018
767,Macedonia,807.0,41.608635,21.745275,89,5.185,0.959,1.239,0.691,0.394,0.173,0.052,2018
768,Ivory Coast,384.0,5.30966,-4.0126599999999994,107,4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018
769,Congo (Brazzaville),180.0,-4.26613,15.28318,114,4.559,0.682,0.811,0.343,0.514,0.091,0.077,2018
771,Congo (Kinshasa),180.0,-4.32153,15.31185,132,4.245,0.069,1.136,0.204,0.312,0.197,0.052,2018
